Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Sharkey County,MS,2266,69.6,3254
Washington County,AL,7342,57.7,12722
Davie County,NC,24654,72.7,33901
Schoharie County,NY,16605,64.8,25628
Scott County,KS,2142,60.2,3556
Custer County,ID,1995,55.8,3574
Montgomery County,VA,42917,51.4,83465
El Dorado County,CA,111380,72,154742
Mitchell County,TX,3003,44.3,6782
Anasco Municipio,PR,17506,80.5,21755
Graham County,NC,4276,63.2,6767
Richland County,ND,8115,64.2,12641
Bertie County,NC,9807,62.7,15647
Goliad County,TX,3070,50.6,6071
Gem County,ID,7075,50.6,13979
Hickory County,MO,3681,46.3,7947
Greenville County,SC,271044,67.2,403569
Roosevelt County,MT,7806,95,7320
Ellis County,TX,91539,67.4,135818
Clark County,IL,7465,62.2,11998
Cedar County,MO,4506,41.4,10894
Potter County,SD,1261,74.3,1698
Morgan County,TN,10894,62.7,17364
Meade County,KY,10690,48,22257
Wayne County,GA,12350,54.5,22665
Owen County,IN,8577,52,16487
Moca Municipio,PR,23919,84.4,28324
Richmond County,NY,326065,87.5,372457
Edwards County,IL,2559,51.7,4954
Long County,GA,3977,27.9,14239
Ravalli County,MT,20826,58.5,35591
Randolph County,IL,16026,62.3,25719
Lee County,AL,62951,48.5,129821
Monmouth County,NJ,397808,81.3,489383
Pitkin County,CO,14016,92.5,15156
Boone County,IL,29363,72.7,40407
Hormigueros Municipio,PR,11179,85.1,13136
Marshall County,IA,23645,80.4,29419
Wilkinson County,GA,4368,63,6934
Wasatch County,UT,17836,75.4,23642
Benton County,OR,64467,82.6,78040
Pacific County,WA,13046,68.5,19033
Bottineau County,ND,3106,62.9,4939
Iroquois County,IL,13301,62.6,21252
Catron County,NM,1659,53.3,3113
Goshen County,WY,5204,49,10619
Gilmer County,GA,12692,49.9,25438
Grundy County,MO,3486,46.6,7480
Lamar County,AL,6028,55.5,10853
Jack County,TX,3536,50.6,6995
Gasconade County,MO,7226,61.9,11679
St. Clair County,AL,33869,48.8,69336
Johnson County,KS,422637,92.4,457530
Elliott County,KY,2569,41.5,6183
Ness County,KS,1378,63.2,2181
Raleigh County,WV,38001,65.3,58151
Madison County,TX,5705,50.7,11250
Scott County,KY,28744,67.3,42718
Lipscomb County,TX,1080,44.7,2414
McCracken County,KY,35112,69,50902
Mountrail County,ND,4184,54.8,7637
Bergen County,NJ,664635,90.3,735893
Bucks County,PA,439350,87.6,501426
Lynn County,TX,2243,51.8,4329
Taylor County,IA,2788,59.5,4687
Penuelas Municipio,PR,14031,92.6,15157
Erath County,TX,15324,45.2,33869
Lake and Peninsula Borough,AK,772,68,1136
Owyhee County,ID,3952,44.8,8816
Sheridan County,WY,15506,64.5,24047
Lampasas County,TX,9230,54.9,16799
Cape Girardeau County,MO,37254,60,62050
Jackson Parish,LA,6669,54.1,12336
Lawrence County,MS,6591,69.5,9483
Irwin County,GA,3304,44.3,7458
Matanuska-Susitna Borough,AK,40938,51.3,79732
Ellsworth County,KS,3317,66.5,4985
Jackson County,TN,4100,42.3,9689
Pickens County,GA,13404,51.3,26138
Wharton County,TX,18354,59.5,30844
Calvert County,MD,58358,81.9,71215
Nelson County,KY,22679,64.1,35392
Shelby County,MO,2720,60.5,4498
Guadalupe County,TX,83593,66.6,125578
Clark County,SD,1884,69,2731
Surry County,VA,3372,62.9,5359
Williams County,OH,15776,55.6,28386
Bath County,VA,1773,50.4,3520
Alachua County,FL,166818,75.6,220754
Washington County,OR,405375,86.9,466437
Lamb County,TX,5244,56.1,9343
Pine County,MN,13960,58.4,23896
LaPorte County,IN,59674,68.9,86579
Cherokee County,NC,16985,71.1,23877
Clay County,IN,14588,72.1,20232
Grant County,KY,11639,62.9,18496
Butte County,ID,1219,62,1966
Geauga County,OH,52814,72.8,72542
Hocking County,OH,13039,58.9,22123
Isanti County,MN,16339,52.6,31059
York County,VA,41263,79,52230
McIntosh County,ND,1092,53.6,2036
Dillon County,SC,13252,58.2,22777
Wright County,MO,6415,47.2,13586
Calhoun County,WV,2362,40.6,5823
Rusk County,WI,5630,49.8,11295
Estill County,KY,7001,63.1,11088
Dawson County,MT,3228,47.7,6772
Putnam County,IN,15715,51.8,30312
Rappahannock County,VA,3775,61.1,6174
Clear Creek County,CO,4534,55,8238
Thurston County,WA,185075,80.9,228828
Washington County,ME,21943,86.2,25458
Brooks County,GA,7168,59.1,12122
Swain County,NC,7905,71,11137
Russell County,KS,2881,53.7,5367
Todd County,SD,5723,95,5935
Madison County,NY,39826,69.3,57487
Conway County,AR,10513,65.1,16141
Pembina County,ND,3663,67.8,5403
Hardin County,KY,67636,80.7,83820
Powell County,MT,3105,52.7,5888
Rutland County,VT,37793,78.8,47973
Lincoln County,WY,8315,57,14600
Darke County,OH,19963,51.1,39034
Hempstead County,AR,8537,53.4,15992
Johnston County,OK,4657,55.3,8428
Grant County,SD,3458,63.3,5462
Hale County,TX,13559,55.4,24457
Schenectady County,NY,102216,83.9,121786
Cerro Gordo County,IA,25460,75.7,33623
Bandera County,TX,11294,58.5,19305
Fairfield County,OH,83015,69.2,119925
Dade County,MO,3226,53.8,5992
Columbus County,NC,24544,55.8,44013
Lake of the Woods County,MN,1989,65.3,3046
Motley County,TX,337,35,963
Price County,WI,7938,72.5,10955
Ellis County,KS,13660,60.7,22516
Columbia County,FL,29154,51.8,56246
Page County,IA,7783,63.4,12277
Yalobusha County,MS,7683,81.4,9441
Ohio County,IN,4392,93.1,4720
Weston County,WY,2587,46.9,5512
Fremont County,CO,21984,54.7,40155
Johnson County,IA,99503,82.1,121138
Saguache County,CO,2346,43.6,5381
Washington County,VA,29947,67.9,44077
Pearl River County,MS,26103,60.7,42971
Jefferson County,MS,4424,81.3,5439
Anderson County,SC,78289,50,156658
Beaver County,OK,1686,43,3920
